anho,lp.nac,li.nac,lp.urb,li.urb,lp.rur,li.rur
2000,,,,,,
2001,,,,,,
2002,120392,51316,134733,53890,79687,44009
2003,129576,55274,144749,57977,85698,47458
2004,137428,58416,153296,61257,90728,50055
2005,145336,62180,161841,65154,95965,53285
2006,,,,,,
2007,,,,,,
2008,174753,80197,193701,83746,115703,69134
2009,182599,83020,202200,86748,120790,71263
2010,187079,83581,207005,87401,123502,71392
2011,194696,87672,215216,91650,128593,74855
2012,202083,91207,223151,95351,133522,77720
2013,206091,91698,227367,95884,136192,77947
2014,211807,94103,233530,98407,139792,79837
2015,,,,,,
